Official	LFC	FDR
CMTM2	-7.4535	1
IGLV11-55	-7.5474	1
TUFT1	-7.0966	1
NDUFAF5	-7.4234	1
OR10A7	-6.9515	1
TMEM255B	-7.5305	1
PCCB	-7.4411	1
ENPP1	-7.196	1
OPRM1	-7.5581	1
PIGQ	-7.5102	1
CCDC175	-7.6867	1
RP11-20I23.1	-7.742	1
RUFY1	-7.7313	1
DNHD1	-7.5712	1
MAGEB1	-7.7335	1
APCS	-7.7721	1
CUL9	-7.7573	1
FAM160B2	-7.0463	1
CSN1S1	-7.8127	1
EFNB1	-7.8225	1
PTK6	-7.7742	1
ASXL2	-7.7742	1
CST9	-6.9417	1
TGDS	-7.7804	1
ATAT1	-7.8455	1
VPS26B	-7.7886	1
ME1	-7.5438	1
CSNK2B-LY6G5B-1181	-8.4753	1
RP11-162A12.2	-5.7383	1
MAGI3	-7.6647	1
SLC30A3	-7.0439	1
JKAMP	-7.7344	1
MIDN	-7.7101	1
LAPTM4B	-7.4788	1
FGF18	-7.6584	1
VHLL	-7.5816	1
NFU1	-7.0928	1
THEMIS	-7.1328	1
CTC-435M10.3	-7.8377	1
KBTBD11	-7.1838	1
APOPT1	-7.6872	1
ALPK1	-6.6191	1
COPE	-7.4735	1
RUNDC1	-7.3418	1
TEX22	-6.7774	1
NFKBIL1	-7.6403	1
TMEM95	-7.3464	1
LINC01124	-7.6011	1
LRRC37A	-7.7697	1
PRRC2A	-7.5681	1
ZNF850	-7.4837	1
NLN	-7.5185	1
WDFY2	-7.5698	1
UCHL1	-7.693	1
CYP2C18	-7.8232	1
RAB11FIP3	-7.4527	1
MFSD1	-7.6116	1
ERAS	-7.7202	1
LDHB	-7.5937	1
JAZF1	-7.6251	1
SLC18A3	-7.5538	1
PTPRA	-7.5185	1
PCSK9	-7.7021	1
TNFRSF9	-7.7241	1
SLC2A6	-7.5566	1
NT5DC3	-7.4709	1
RASIP1	-7.7265	1
CACNB1	-7.4712	1
TNXB	-7.7108	1
ZNF579	-7.4578	1
CEBPA	-7.6915	1
FAM110C	-7.4604	1
EID2B	-7.2221	1
MALT1	-7.5615	1
GRASP	-7.5722	1
KIFC3	-7.7208	1
GPR124	-7.292	1
USP48	-7.6826	1
RGS10	-7.4568	1
FRMPD1	-6.9245	1
MRPS34	-6.8447	1
ENTPD6	-7.4863	1
CYC1	-7.5591	1
HTR1A	-7.6906	1
RELA	-7.2446	1
STAB1	-7.4374	1
F13A1	-7.4354	1
AL109659.1	-6.863	1
LACC1	-7.0616	1
PTDSS1	-7.6658	1
WDR88	-7.6629	1
TBXA2R	-7.8317	1
TMEM45A	-7.3977	1
MAP3K7CL	-6.6037	1
CCDC136	-6.7254	1
MAST3	-7.2321	1
PIWIL4	-7.7823	1
NIM1K	-7.7291	1
ARL1	-7.7615	1
KLK12	-6.8222	1
IDH1	-7.7572	1
TBC1D22A	-7.7884	1
KIAA1958	-7.7202	1
SMEK1	-7.608	1
PCDHB2	-7.7864	1
IFT27	-7.4426	1
PLSCR4	-7.7572	1
AP000322.53	-7.8356	1
VASP	-7.7269	1
ZNF227	-7.6537	1
HN1	-7.6953	1
TRAJ41	-7.5567	1
DEFB113	-7.5963	1
OR52K1	-7.1086	1
EN1	-6.7068	1
RREB1	-6.6985	1
MYLK4	-7.5133	1
HDAC2	-7.6336	1
TGM5	-7.2591	1
SPHK2	-6.9085	1
TAS2R38	-7.2472	1
RP11-352D3.2	-6.7214	1
LINC00935	-6.6461	1
FIZ1	-7.618	1
INO80D	-7.374	1
ACN9	-6.9678	1
HMGCL	-7.5415	1
RP11-133K1.2	-7.5683	1
ECHDC3	-6.9493	1
MPZ	-6.8796	1
CRYGN	-7.5489	1
IL21	-6.6324	1
CDC25B	-7.6036	1
METTL5	-6.9316	1
SDHA	-7.3147	1
FAM120A	-7.6096	1
RNASE6	-7.246	1
KCNV2	-7.6348	1
SLC22A9	-7.4036	1
USP25	-7.5331	1
PYGO1	-7.7231	1
SUCLG2	-7.552	1
PROKR1	-7.6712	1
TRIM71	-7.5184	1
SAC3D1	-7.5486	1
TLX3	-7.7245	1
IGFBP2	-7.5737	1
CLDN6	-7.6944	1
MPND	-7.7393	1
CSN3	-7.4965	1
ADA	-7.5465	1
IRAK2	-7.6897	1
TRAF3IP3	-6.4505	1
HSD17B3	-6.9238	1
AGAP7	-7.2689	1
VMA21	-6.7774	1
PTRF	-7.3347	1
ARID3A	-7.3637	1
MVK	-7.1862	1
TPGS1	-7.137	1
PDF	-7.7115	1
MCC	-7.8228	1
TCERG1	-7.3241	1
SEC23A	-7.2657	1
LYVE1	-7.5073	1
TENC1	-6.9461	1
ZNF837	-6.8114	1
RELT	-7.778	1
EEPD1	-7.8219	1
RAPGEF3	-7.3497	1
ADPRHL1	-7.7507	1
UPK3A	-7.7759	1
FAM46C	-7.7312	1
ZNF444	-7.778	1
CDK5	-7.7821	1
SIK3	-7.7655	1
PPARA	-7.7634	1
OR2V2	-7.7312	1
C10orf32	-7.7613	1
MEOX2	-7.7201	1
PCDHGB1	-7.4003	1
RP11-167N24.6	-7.5365	1
GFI1B	-7.5865	1
ESYT2	-7.6677	1
TRPM8	-7.6723	1
CCDC122	-7.3634	1
TENM2	-7.471	1
LRRC23	-7.1047	1
MRGPRF	-7.5756	1
PTF1A	-7.1601	1
HPRT1	-7.3003	1
SMIM23	-6.9626	1
AP1B1	-7.6862	1
XIRP1	-7.2359	1
OR1J4	-7.5283	1
SYNE2	-7.355	1
MAFB	-7.4897	1
CNTN6	-6.939	1
ZSCAN5C	-7.1257	1
C22orf24	-7.2275	1
CEP70	-7.3772	1
PCDHA2	-7.2863	1
LRRFIP1	-7.7177	1
CDH19	-7.6999	1
FAM195A	-7.3921	1
OLAH	-7.4299	1
TIGD4	-7.6262	1
LGR6	-7.6414	1
UBL4A	-7.7446	1
TTC12	-7.2514	1
CNTNAP1	-7.7776	1
S100A13	-7.6384	1
DNAJB14	-7.6765	1
AKR1C2	-7.5488	1
NDUFS6	-7.4896	1
KRTAP21-1	-7.2989	1
DNAH3	-6.7964	1
TRGJP2	-8.1324	0.997518
ELSPBP1	-7.867	1
GPC5	-6.8356	1
RP11-644F5.10	-7.4466	1
TMED8	-7.6777	1
ERV3-1	-7.2403	1
ANXA2R	-6.9483	1
MPHOSPH9	-7.5138	1
NBPF4	-7.0002	1
RP11-886H22.1	-6.8281	1
MAP3K1	-7.5334	1
BLOC1S3	-7.5449	1
KLF15	-7.5189	1
RIC3	-7.7311	1
ACOT13	-7.59	1
CHRM4	-7.7839	1
KRT86	-7.7548	1
TEX11	-7.5644	1
ZNF264	-7.8254	1
CHP2	-7.5493	1
APOB	-7.1894	1
CPA6	-7.404	1
CEP170B	-7.3549	1
ADD3	-7.6785	1
CYSLTR1	-7.2478	1
RALY	-6.7375	1
ZMAT4	-7.5914	1
IGHV2OR16-5	-7.7837	1
ANXA8L1	-8.129	0.997518
TULP3	-7.6452	1
ITK	-7.5403	1
PRR23C	-7.4351	1
ZC3H10	-7.1329	1
IGHV1-46	-7.0793	1
NLRP9	-7.7534	1
PGBD5	-7.1306	1
FAM193A	-6.8966	1
VAV2	-7.0361	1
COLCA1	-7.1415	1
SEMA3E	-7.1243	1
MCM9	-7.051	1
TRAJ29	-7.8793	1
CPNE2	-7.8097	1
PRPS1	-7.4714	1
BRPF1	-7.5866	1
DSG1	-7.6943	1
ARHGDIB	-7.3815	1
PITPNM3	-7.7322	1
PEMT	-7.7479	1
C10orf99	-7.7657	1
RNF26	-7.1802	1
GOLPH3	-7.8092	1
CSTF2T	-7.8629	1
MBD3L5	-8.1256	0.997659
HIATL2	-5.2786	1
TMEM75	-6.9875	1
LCE2B	-7.2379	1
PRKAB1	-7.5982	1
KRTAP9-7	-7.4598	1
TMEM256	-7.3515	1
SCYL1	-7.6799	1
SURF1	-7.0519	1
AC136604.1	-6.6077	1
GPR83	-7.3508	1
CTC-273B12.7	-7.4468	1
SPACA7	-7.4423	1
TMEM206	-7.4078	1
IGHV1-8	-6.6948	1
CAMSAP2	-7.2157	1
DHRS13	-6.9188	1
FKBP11	-7.7044	1
RBFOX1	-7.7462	1
IGSF11	-7.7201	1
PLEKHF2	-7.5566	1
TSKU	-7.2908	1
UBE2R2	-7.5622	1
HARBI1	-7.6951	1
CYP4F2	-7.7089	1
C3AR1	-7.7376	1
PDCD4	-7.7112	1
SPTAN1	-7.7462	1
MOB3C	-7.7776	1
SECTM1	-7.744	1
ALDH8A1	-7.5766	1
MAPKAP1	-6.7356	1
LZTS2	-7.3147	1
CCL3L3	-8.1222	0.998729
ASGR2	-6.9855	1
NANP	-7.5669	1
CTSC	-7.6047	1
SEMA6B	-7.265	1
C11orf65	-7.4896	1
TRDN	-7.0653	1
TBC1D12	-7.2504	1
OVOL3	-6.9398	1
PSD2	-7.6355	1
CCL3L1	-7.6907	1
HCLS1	-7.2556	1
KRTAP1-4	-7.478	1
ZNF121	-7.2527	1
GRM5	-7.709	1
YIPF6	-7.0657	1
POU3F3	-7.3459	1
KIAA0895L	-7.5912	1
RASSF5	-7.8172	1
OR4C11	-7.5912	1
SLC22A8	-7.4348	1
ZC3H12B	-7.7837	1
C14orf132	-7.8311	1
ASL	-7.7813	1
SLC39A14	-6.6828	1
CSTF1	-7.0442	1
NCF2	-7.4851	1
ZNF226	-7.1999	1
SLFN5	-6.8198	1
CASP16	-6.8099	1
MSL1	-6.6359	1
OR52E8	-7.655	1
ZEB2	-7.7372	1
RP11-1012A1.4	-7.7963	1
CXCL10	-7.8559	1
ZNF174	-7.3259	1
GJB4	-7.1858	1
GSX2	-6.4716	1
SLC25A46	-7.015	1
KIAA0408	-6.793	1
SELV	-7.6034	1
VWA1	-7.0074	1
ZNF713	-7.7141	1
KLHL33	-6.8198	1
MAGED4	-8.0829	0.982856
LAIR1	-7.6647	1
ZCCHC9	-6.4283	0.978992
PLXNB1	-7.458	1
KCTD15	-7.7486	1
SOX11	-7.7854	1
CD200	-7.7712	1
GABRP	-7.8342	1
COX19	-7.7875	1
AC137932.1	-7.7418	1
TMEM125	-7.731	1
SMAP1	-7.72	1
CACNA2D2	-7.7753	1
LIFR	-7.819	1
NDUFS2	-7.1984	1
AP000708.1	-6.8768	1
GNAZ	-7.6108	1
OR10T2	-7.1773	1
ZBTB7B	-7.5717	1
UBXN4	-7.7016	1
SLC1A1	-7.7416	1
TRAV22	-7.7311	1
C19orf45	-7.6417	1
NBPF1	-6.978	1
VPS37D	-7.1999	1
ANXA3	-7.0368	1
TLR9	-7.4925	1
CLN8	-7.5571	1
HYKK	-7.3115	1
POTEM	-6.6827	1
IER3	-6.978	1
PDCL	-6.9012	1
TRGV3	-7.3695	1
RGS9	-7.4767	1
NLRP14	-7.2605	1
RBMS2	-6.5187	1
MTRNR2L10	-7.0384	0.982856
IGHD3-16	-4.9866	0.949396
SALL2	-7.6485	1
KCNAB1	-7.5827	1
GP5	-6.7423	1
CLDN23	-7.3696	1
CARD16	-7.3678	1
RPL36A	-7.5674	1
CTSH	-7.3808	1
CCDC66	-6.4041	1
ZFYVE26	-7.8548	1
ATP8A2	-7.8548	1
TAGLN	-7.2442	1
DUT	-5.8734	0.972103
TFAP2B	-7.0223	1
CHAT	-6.4583	1
RP11-190A12.7	-6.7925	1
IFITM2	-7.749	1
CDHR5	-6.7425	1
ITGB1BP1	-6.9618	1
GSTA5	-7.5237	1
LRRC58	-7.322	1
EIF2AK1	-7.2308	1
DGKG	-7.536	1
SOD2	-7.0103	1
IFIT2	-7.7459	1
GOSR1	-7.7066	1
GPRASP2	-7.7501	1
NPCDR1	-7.7177	1
OPN3	-7.7177	1
AC011298.1	-7.7089	1
OLR1	-7.2469	1
WBSCR28	-7.0626	1
MOBP	-6.069	1
AMN	-7.5914	1
HIGD1B	-7.4844	1
LY6H	-7.6064	1
CERS4	-7.7186	1
MTO1	-7.7345	1
OR1G1	-7.3193	1
NAV3	-7.3683	1
FMN2	-7.6458	1
ANKRD65	-7.7106	1
CASP5	-7.75	1
CAMTA1	-7.4025	1
CLDN3	-7.581	1
LYRM5	-7.8791	1
RBM7	-7.6862	1
COQ6	-7.8007	1
PPT2	-7.7708	1
LMAN2L	-7.5415	1
AREL1	-7.5466	1
RNF13	-7.754	1
ROBO1	-6.8346	1
FOXB2	-7.4053	1
ARHGEF35	-7.5839	1
GPR119	-7.7146	1
NSUN5	-6.5297	1
FOXO3	-7.1931	1
IQCC	-7.751	1
CD79B	-7.547	1
TTC23	-5.9708	1
GNB1L	-5.9277	1
SLC10A5	-7.8507	1
ZNF620	-7.0606	1
TMEM196	-7.6465	1
FNBP1	-7.2981	1
TRA2B	-7.4301	1
MAST1	-7.693	1
SEMA4F	-7.4338	1
NMUR1	-5.9627	1
HYLS1	-6.7287	1
AC111200.1	-8.4102	1
TCF21	-7.2867	1
C14orf182	-6.8604	1
DPRX	-7.4303	1
RPL17-C18orf32	-6.4608	1
C11orf70	-7.4824	1
KIAA0368	-7.2868	1
OPA1	-6.76	1
ZNF547	-7.5004	1
ZNF214	-7.7221	1
PAPOLA	-7.7329	1
ASPHD2	-7.4356	1
C1orf64	-7.7155	1
FAM168B	-7.1325	1
IDUA	-7.7372	1
NPEPL1	-7.4316	1
MYF6	-7.3881	1
SCRIB	-7.8232	1
PPL	-7.3851	1
EGR3	-7.6699	1
CHST2	-7.7682	1
OR5M3	-7.4862	1
CLIC5	-7.5661	1
KRT37	-7.6295	1
ZDHHC11B	-7.1212	1
CDC42EP3	-7.5684	1
CHD5	-7.5536	1
CALR	-6.9415	1
RARRES2	-7.2061	1
BSPRY	-6.9098	1
C5orf34	-7.1604	1
PNPLA6	-7.2843	1
TCTEX1D1	-6.7761	1
POR	-7.7246	1
MAPK8	-7.1111	1
AK1	-7.4153	1
AC092687.4	-7.4606	1
ZNF37A	-7.0065	1
ZNF790	-6.7068	1
GLDC	-7.6723	1
CTD-2583A14.9	-7.2063	1
ALDH16A1	-7.7402	1
ASPDH	-6.405	1
EGR4	-7.7708	1
NPY4R	-6.9055	1
SERHL2	-6.9008	1
CAMSAP3	-6.9195	1
PIK3R5	-7.7553	1
PARP11	-7.3245	1
SERINC2	-7.4338	1
PBXIP1	-7.4607	1
TMEM88	-7.2942	1
CTD-3074O7.11	-6.586	1
PXMP4	-7.3603	1
TMEM120B	-7.3168	1
HOXC4	-7.6102	1
RP11-257K9.8	-7.6248	1
TRAJ3	-5.9377	0.949396
PCDHGA9	-7.5365	1
PTPN9	-6.8447	1
ZYG11A	-6.6336	1
PSAP	-7.3678	1
ELMOD3	-7.4637	1
ZWILCH	-6.7226	1
FGFBP3	-7.8213	1
TCP11L2	-7.7307	1
TLE3	-7.4501	1
UQCRC1	-7.2608	1
ADAM29	-7.812	1
ANKAR	-7.5865	1
FAM114A2	-6.8879	1
PAF1	-6.594	0.994323
TRGV11	-6.1582	1
RHEBL1	-7.3389	1
ALPK2	-7.722	1
LRWD1	-7.693	1
CALHM3	-7.6998	1
KRTAP10-12	-7.8179	1
ADCY10	-7.6885	1
FRAT2	-7.6862	1
ELOVL5	-7.8024	1
CA3	-7.6975	1
ZNF211	-7.7328	1
ANGPT1	-7.4526	1
PKD2	-7.7198	1
IL18BP	-7.693	1
QTRTD1	-7.722	1
PPIAL4G	-4.9787	1
TPTE	-7.584	1
NID1	-7.4864	1
MALL	-7.0069	1
TTC6	-7.5076	1
SSH3	-7.0515	1
C9orf84	-7.3635	1
AMT	-7.139	1
TRIM42	-7.22	1
DLD	-6.8771	1
TMEM251	-7.3222	1
SFTPA2	-7.2356	1
TFB1M	-6.8563	1
ACBD5	-7.3462	1
FAM162A	-6.6989	1
ANKK1	-7.7499	1
RGS18	-6.4927	1
OR6X1	-7.7134	1
ATP10D	-7.2689	1
GRIK1-AS2	-7.8473	1
KRTAP10-6	-7.3464	1
USP42	-7.8343	1
IGHV1OR15-9	-6.5238	1
LILRB5	-7.3112	1
TRGC1	-7.3694	1
GIMAP1	-7.5402	1
IGLJ2	-7.5542	1
MAMDC2	-7.245	1
SLC37A3	-7.727	1
ATP13A2	-7.6737	1
CAMK2D	-7.0386	1
SCN2B	-7.6124	1
LAMB2	-6.6134	1
CDY2B	-8.3906	1
SMIM14	-7.4606	1
DERL1	-7.4965	1
TNFSF11	-6.9852	1
CD276	-7.4273	1
FOXS1	-6.8895	1
PPP1R14C	-7.4965	1
SGCZ	-7.4959	1
MAP3K2	-6.9233	1
TRAJ26	-6.803	1
TRGC2	-7.4183	1
RECQL	-7.278	1
PPP1R3A	-7.8194	1
RYR2	-7.7022	1
SERPINB7	-7.7519	1
PHF1	-7.4711	1
GLTPD2	-7.5112	1
SNX27	-7.7049	1
PPP6R1	-7.7156	1
BMP7	-7.2131	1
BCL2	-7.7183	1
CXorf38	-7.539	1
CDC20	-5.445	1
GPS2	-6.6886	1
FAM3A	-6.9914	1
SLC15A4	-7.4472	1
CRYBA4	-7.4286	1
NCS1	-7.7064	1
PCDHB3	-7.4337	1
TRBV6-4	-7.3434	1
FSBP	-7.4381	1
C19orf54	-7.1867	1
KDM4E	-7.085	1
GAGE2D	-7.8198	0.989978
PVRL4	-7.6953	1
GPAT2	-7.7579	1
ATF2	-7.7433	1
TNFRSF4	-7.6975	1
TTC18	-7.724	1
TRAM1L1	-7.7131	1
FAM46B	-7.7262	1
IL1RAP	-7.762	1
OTOG	-7.7682	1
BAZ2A	-7.7903	1
ARX	-7.4011	1
ZNF677	-7.7326	1
RP11-268J15.5	-7.3483	1
MTMR6	-7.7517	1
TCL1A	-7.7175	1
RP11-404P21.8	-7.8384	1
IGHV3-49	-7.2469	1
TRAV16	-7.6845	1
ADM	-7.1721	1
FAM183A	-7.5816	1
HMGB4	-7.7534	1
TMEM183A	-7.6348	1
SLC1A4	-7.6115	1
FAAH	-7.73	1
AC124890.1	-7.3328	1
ZMAT2	-6.9827	1
HOXB13	-7.3769	1
HIST1H2BA	-7.6065	1
FAM19A1	-7.4016	1
PDE6B	-7.6671	1
CSAG1	-7.7988	1
TRAF7	-7.6081	1
SP2	-7.7084	1
AC090427.1	-7.4607	1
GABARAPL2	-7.2493	1
B3GNT1	-7.1407	1
GUCY1A3	-7.7381	1
MAGEC2	-6.2661	1
PCDHB11	-7.0863	1
FUT11	-7.4847	1
PSMC2	-6.0469	1
ZNF423	-7.4527	1
KDM1B	-7.1265	1
TBR1	-6.8502	1
IL17REL	-7.0414	1
PDGFC	-7.4734	1
RP11-934B9.3	-7.6018	1
PTGDS	-7.0782	1
NDRG3	-7.7359	1
GDF15	-7.445	1
PPP1R42	-7.4066	1
TRIM64C	-6.4952	1
BSPH1	-7.3013	1
ADH7	-7.8343	1
OFCC1	-7.8343	1
ASAH1	-7.5335	1
ECE2	-7.3672	1
LMTK2	-7.7282	1
CPEB1	-7.7325	1
CXCL12	-7.7452	1
INSL6	-7.7638	1
C1orf198	-7.7556	1
PDE1B	-7.7998	1
PLEKHA8	-7.2504	1
FBXL21	-7.5567	1
KCTD17	-7.7134	1
TOMM6	-7.6205	1
AC012414.1	-7.5365	1
LYRM4	-7.5211	1
IGLV3-12	-7.5263	1
NCOR2	-7.3152	1
SLC25A21	-7.5811	1
MAPRE2	-7.4713	1
DEF8	-7.7038	1
PTGS2	-7.5519	1
ART1	-7.7531	1
AC003005.4	-6.895	1
ZNF587B	-6.6683	1
CUX2	-7.4634	1
C2CD4D	-7.0265	1
HEXIM1	-5.922	1
WDR41	-7.1702	1
MRC1L1	-7.1664	1
RP11-480I12.4	-7.63	1
C19orf77	-6.6651	1
MYCBPAP	-7.6182	1
FGL2	-7.2905	1
KRBA1	-7.3955	1
AP1M2	-7.1247	1
MRC2	-7.6851	1
ARHGEF16	-7.522	1
SRSF8	-7.4364	1
ACE	-7.3406	1
CFHR2	-6.5263	1
MIA3	-7.1759	1
NR2E1	-7.1299	1
HSPG2	-7.6724	1
JRKL	-6.6929	1
KCNIP3	-7.6026	1
SLC25A6	-7.6312	1
GH1	-7.0948	1
XRRA1	-7.4124	1
HPDL	-7.1768	1
CCNI2	-7.48	1
DPEP1	-7.0015	1
IGHV4-39	-7.4473	1
C12orf61	-7.3265	1
DNAJB13	-7.4446	1
AHSA1	-7.3579	1
DYNC1LI2	-7.8301	1
CTD-2278I10.6	-7.8301	1
GDPD2	-7.8301	1
NUDT3	-7.7942	1
PAFAH1B2	-7.6242	1
SLC18B1	-7.2216	1
B3GALT2	-7.677	1
DOC2B	-7.7717	1
TGFBR3	-7.715	1
OTOP2	-7.4405	1
KRT13	-7.809	1
UGP2	-7.5127	1
APBA2	-7.3399	1
METTL24	-7.5375	1
TTLL7	-7.3301	1
GPR182	-7.8007	1
FERD3L	-7.736	1
STX6	-7.5792	1
AL121761.2	-7.5466	1
IFI6	-7.6773	1
OSBP2	-7.2871	1
PPARGC1B	-7.5308	1
ABCA13	-7.4998	1
GABRA4	-7.3591	1
GMEB1	-7.0723	1
CYP17A1	-7.7965	1
CRABP1	-7.6907	1
TRIM14	-7.7134	1
XRCC6BP1	-7.805	1
TRIM39	-7.5717	1
WNT9B	-7.7446	1
FRAS1	-7.1001	1
FAM135B	-6.7871	1
MBOAT4	-6.9029	1
CHCHD2	-5.922	1
CYFIP2	-7.7179	1
OR12D2	-7.224	1
NLRP6	-7.3076	1
ANKRD16	-7.0687	1
ABHD1	-6.6542	1
TTPA	-7.1899	1
PRDX6	-7.6726	1
IGHJ1	-7.2918	1
TRAPPC4	-6.6344	1
ARMC5	-7.2573	1
ANKRD40	-7.1431	1
C15orf62	-6.9507	1
APPL2	-7.13	1
CCDC163P	-7.8259	1
LRRC45	-7.0625	1
RECK	-6.802	1
FOXC2	-6.9323	1
MAML2	-7.4375	1
DNAJC5	-7.5641	1
SNAI3	-7.7932	1
C3orf36	-7.5629	1
HLX	-7.7257	1
LONP2	-7.7017	1
TNFRSF1A	-7.565	1
OR13D1	-6.9213	1
SHROOM4	-7.0999	1
HLA-DMB	-6.633	1
FAM63B	-7.3252	1
AC114783.1	-7.7923	1
TRIM51	-7.7358	1
CNTNAP3	-7.4946	1
RAB9B	-7.2583	1
SUN1	-7.649	1
USP17L21	-6.6472	1
MED13L	-7.6441	1
FASTKD1	-7.6084	1
PMFBP1	-7.1436	1
SLC27A1	-7.6864	1
NCKAP5	-7.4746	1
AWAT1	-7.4484	1
ACOXL	-7.3348	1
TMEM38B	-7.1507	1
TXLNA	-7.4082	1
IGHV1-18	-6.6959	1
RAB2B	-7.22	1
MTX1	-7.6895	1
EYA3	-7.2242	1
ZNF626	-7.6011	1
CHGA	-7.5717	1
TRBV5-7	-7.7269	1
SYNCRIP	-7.5466	1
PRAMEF20	-8.3507	1
GLIS3	-6.5098	1
ADCY9	-7.5466	1
MPLKIP	-6.8634	1
C3orf27	-7.0144	1
MEGF11	-7.7505	1
SLC25A42	-7.0914	1
PLP1	-7.5861	1
CCT8L2	-6.9167	1
GDI2	-7.0723	1
IGHV3-48	-7.2316	1
FXYD3	-7.026	1
FSTL1	-7.1341	1
HDDC2	-7.6006	1
CISD2	-7.5331	1
SETD2	-6.7539	1
UBE2Q2	-7.1725	1
ANAPC16	-7.8218	1
MCTP2	-7.8218	1
SBSPON	-7.8218	1
MIER3	-6.6794	1
FUT5	-7.0793	1
CTD-2368P22.1	-7.5365	1
TMEM151A	-7.2253	1
WFIKKN2	-7.617	1
SCNN1B	-7.2509	1
ATP2B4	-6.6011	1
C20orf27	-6.9336	1
OR2Z1	-7.2016	1
NDUFA6	-7.1575	1
TRAV19	-7.0068	1
RFX6	-7.4335	1
RP11-47I22.4	-6.8932	1
PPAP2B	-7.7082	1
ZNF331	-7.6815	1
GABBR2	-7.7255	1
IFFO1	-7.5304	1
PRR3	-7.663	1
C21orf91	-7.6654	1
TEX101	-7.7126	1
OR2W3	-7.6837	1
C16orf90	-7.7169	1
GJA9	-7.7589	1
CA8	-7.012	1
R3HDM4	-7.5557	1
MAPK7	-7.3427	1
C1orf63	-7.6723	1
HDHD2	-7.7589	1
LRRC7	-7.0706	1
ARF5	-7.6246	1
PER3	-7.549	1
SMEK2	-7.0842	1
C7orf76	-7.4049	1
DRP2	-7.633	1
OR8J1	-7.6614	1
BPI	-7.6243	1
PABPC1L	-7.1667	1
BPIFB2	-7.3654	1
AC006486.1	-7.5293	1
OR2S2	-7.1272	1
LHFPL1	-7.5561	1
ACTRT1	-7.4391	1
MOAP1	-7.588	1
NSG2	-7.4274	1
NDUFS7	-7.6246	1
IGFL4	-7.7007	1
FBXL22	-7.1104	1
APOBEC3F	-7.0802	1
SPATA12	-7.4844	1
YBX2	-7.2757	1
AC007773.3	-7.4179	1
DCAF8L1	-7.1449	1
HIVEP1	-7.7845	1
RP11-105C20.2	-5.1051	1
ZC3H6	-7.1805	1
PEX7	-6.5557	1
HOXA11	-7.6953	1
EDAR	-7.6537	1
ERICH2	-7.7089	1
AP5Z1	-7.6443	1
PIM1	-6.4822	1
OBP2A	-7.0291	1
DCBLD2	-6.8237	1
ASB15	-6.838	1
CTC1	-6.414	1
SOX18	-6.793	1
MAGEA2B	-7.0897	1
HIST2H4B	-6.7686	1
BMP4	-7.219	1
ZNF30	-6.9314	1
CDYL2	-7.6751	1
GNB1	-6.9225	1
WBP1	-7.475	1
WBP2	-7.4198	1
PFKFB3	-6.5268	1
TCP11L1	-6.5572	1
UCK1	-7.649	1
TYW3	-7.2606	1
NCDN	-7.5617	1
SIRT5	-7.0689	1
IGSF9	-7.5497	1
MARCO	-7.5082	1
PRKAR2A	-6.8501	1
CTSD	-7.2932	1
CADM2	-6.408	1
GPHA2	-7.5762	1
ATP2A3	-7.3615	1
EPX	-7.0794	1
KLHDC4	-7.3387	1
GSTP1	-7.6607	1
OR2A12	-7.7545	1
RPGRIP1	-7.7442	1
TMCO6	-7.6607	1
SGTA	-7.6607	1
CD83	-7.7422	1
FOXA1	-7.6993	1
VAPB	-7.7338	1
CRYBA2	-7.663	1
C17orf78	-7.6971	1
SULT2A1	-6.7011	1
CGN	-7.7677	1
FOXE3	-6.9506	1
PHYHD1	-7.5923	1
GJB3	-7.5766	1
PLD3	-7.1817	1
EXTL1	-7.6197	1
LDLRAD3	-7.6631	1
TNFSF9	-7.4029	1
CD209	-7.2867	1
RBM14	-5.3086	0.984745
CD48	-7.4927	1
SUCO	-7.0853	1
RFPL3S	-6.5755	1
SSTR5	-7.1992	1
COX14	-7.2633	1
PRSS38	-7.4189	1
CCDC70	-6.9283	1
GC	-7.2416	1
B4GALT2	-7.5114	1
TMC4	-6.5098	1
LPCAT1	-6.9779	1
USP17L20	-5.18	1
TMEM14E	-7.0039	1
ACTA1	-7.4068	1
LMOD1	-7.6903	1
NOP10	-6.3838	1
FLVCR2	-7.3289	1
GMIP	-7.0296	1
AP1S3	-7.4794	1
PNPLA3	-7.5122	1
AGPAT1	-7.2965	1
WDFY3	-7.5263	1
FBXO39	-7.5617	1
POTEB	-7.7358	1
SLC20A1	-7.8134	1
IGHV3-35	-7.8134	1
GNB4	-7.1662	1
IL16	-7.2987	1
MYT1L	-7.3141	1
C9orf169	-6.961	1
ETHE1	-7.392	1
SLC25A28	-6.9997	1
CRY1	-7.6672	1
SIRT2	-7.2386	1
RP11-89K11.1	-5.2353	0.988533
AHNAK	-7.4315	1
COMP	-7.3347	1
TMSB15A	-7.7583	1
COL8A1	-7.4387	1
DHX38	-7.1219	1
PRPS2	-7.727	1
ORAI3	-7.4781	1
AFTPH	-7.5012	1
RAB42	-7.5883	1
HMX3	-7.7783	1
IL1R2	-7.7419	1
TRIM61	-7.6537	1
TMEM104	-7.7522	1
NUP62CL	-7.723	1
PTPRQ	-7.7283	1
SMAGP	-7.741	1
DKFZP434O1614	-6.845	1
MYBPC1	-7.7231	1
OR10G3	-6.9636	1
TMTC1	-7.7849	1
LIMK2	-7.4763	1
